District,harvest,Total land area,Agricultural land,% of agricultural land,Arable land,Physical cultivated land,Area under seasonal crops,Area under permanent crops,Temporary fallow land,Temporarily meadow and pasture,Area under permanent pasture,Modern irrigated agricultural land (Ha),Agricultural area under erosion control,Agricultural area under agroforestry trees,Inorganic fertilizer,Organic fertilizer,cultivated_land,Pure,Mixed
Nyarugenge,748.2004,13.094142307934574,5.2007636900000005,39.71824627909021,3.723297,4.667489,3.206043,2.843131,0.5172546,0.014764089999999999,0.01602,0.0,2870.283,1608.87,477.3399,1810.858,748.2004,42.09051162198776,57.909494805451075
Gasabo,3522.7568699999997,42.710230252148435,21.306169,49.885399526564825,19.088279999999997,19.0467,17.34502,10.52891,1.3881839999999999,0.08875519,0.873615,335.2402,14555.5,7652.509,5598.986,13722.88,3521.638,24.527078181522256,75.47294281949104
Kicukiro,1253.27493,16.562534364404296,5.7557883,34.75185725422655,5.147869,5.276383,4.705094,2.534384,0.4098737,0.03290113,0.06953243,112.6213,3004.161,3340.41,1344.029,2907.877,1253.21,23.605185597785454,76.39478995364817
Nyanza,5974.1877,67.04278783349609,45.506702,67.87710277355713,43.218849999999996,41.90757,39.67889,14.02414,3.194498,0.39395280000000005,0.40464120000000003,761.0143,34126.67,21228.9,9078.038,26061.01,5974.208,25.976571774502794,74.02340436345986
Gisagara,6483.5345,67.47864910018312,47.401209400000006,70.24623348583215,45.19554,40.365230000000004,38.75286,14.40648,6.442671000000001,0.0,0.5933084,2749.726,30228.34,15635.65,15661.49,29321.92,6058.316,24.16192103946887,75.83809630218877
Nyaruguru,4415.076,101.0479856083862,34.17167,33.817269878523945,30.56745,30.07387,26.077740000000002,9.398033,4.097809,0.391901,0.0,0.0,27613.1,11108.4,13531.43,21385.52,4498.449,46.55047720828747,53.44951614142111
Huye,4727.2389,58.063407297619634,34.424208899999996,59.28726973177692,32.51634,29.36745,28.03653,11.1856,4.431839,0.04797834,1.4766261759277344,1038.052,26312.01,9592.031,8653.148,19686.71,4720.665,31.152391508285536,68.84761530197548
Nyamagabe,5695.534900000001,109.0743344895996,44.067016200000005,40.40090311456529,38.39775,36.89244,31.10959,13.26683,7.166201,0.12196080000000001,0.008374454,60.98038,34725.03,15651.69,14613.01,25198.37,5877.443,46.82978409668756,53.170207771565124
Ruhango,4162.88948,62.584193684021,44.61971930000001,71.29550877539278,39.70075,38.89723,33.33383,14.570409999999999,5.722487,0.7024323,0.0,949.1715,32891.8,13032.82,6837.695,24366.51,4162.889,38.54212754995664,61.45787630635908
Muhanga,1911.7978,64.09447869753419,39.349516599999994,61.39298953610778,36.41659,33.92526,30.29279,17.02059,5.424252999999999,0.7578436000000001,0.0,190.6648,35398.97,11618.76,6836.859,24604.43,1912.998,33.77727982040521,66.22274464514051
Kamonyi,5717.3397,65.75003541818847,46.9763656,71.4469053913314,41.2065,42.23425,37.02617,17.75703,4.122978,0.0,0.6191376000000001,205.4165,36227.13,25429.15,8409.226,27705.33,5737.341,30.36930926913583,69.63068125987793
Karongi,6479.515,78.812256053125,43.052313399999996,54.62641923482017,35.800019999999996,38.76208999999999,30.987080000000002,19.54241,4.093416,0.6034329,0.2542464677856445,240.1724,32940.04,16184.64,12613.6,25166.64,6516.141,39.9183841738152,60.08159415552671
Rutsiro,5921.95,66.06075854906007,32.744572600000005,49.56735786750348,26.18721,29.573240000000002,22.620900000000002,13.806629999999998,2.909612,0.6567003,3.7663096354248045,0.0,27522.33,14380.1,9407.2,20360.91,5921.95,41.57921147632116,58.4207952865496
Rubavu,2246.1850320000003,33.876553168090815,22.901827899999997,67.60377239787137,21.454909999999998,20.83445,19.8563,4.130513,1.4127239999999999,0.3214258,1.67011453359375,0.0,17570.91,7427.185,10040.36,7521.068,2246.104,60.953132912075915,39.04687476751246
Nyabihu,3077.225,54.033211824414074,29.626432400000002,54.8300413758002,28.728080000000002,28.02336,27.179009999999998,2.988692,1.41304,0.1360314,4.799348124780274,0.0,25473.85,9951.734,14486.7,21488.01,3077.225,60.861723933175746,39.1382903406301
Ngororero,3791.988,66.662476711145,42.535512600000004,63.80727914492363,39.588010000000004,38.57173,35.12362,15.429030000000001,3.907999,0.7237177,3.0813303979760747,111.5518,37728.21,19049.12,14077.0,31327.84,3791.988,36.408011774426505,63.59201933644149
Rusizi,7926.67031,91.62673150339357,37.625031,41.063377884003735,33.72536,36.01846,32.011900000000004,11.324729999999999,1.606571,0.0,0.0,1516.279,20550.09,22237.22,21459.41,23854.9,7921.924,29.835312226008554,70.16471220590775
Nyamasheke,5632.481,94.76788813907473,36.163463799999995,38.16003976677102,30.65949,33.66159,28.03877,14.553270000000001,2.44245,0.1188492,0.05942461,469.9163,28561.96,22252.36,13592.86,22900.99,5632.481,41.460727196784234,58.53927280321578
Rulindo,4982.277778000001,56.62350235334475,33.254769100000004,58.729622361545154,27.85405,30.83814,25.65988,14.15628,2.0715149999999998,0.2393928,0.34512119999999996,267.9548,26796.96,12517.34,11907.97,23793.58,5011.208,37.72581614844475,62.274164395128885
Gakenke,9171.7031,70.03174641347655,43.8296372,62.58538369330976,39.67758,40.28628,36.00649,15.85216,3.4822930000000003,0.3109224,0.06106183,19.97688,40901.25,15350.93,20248.26,32084.51,9171.156,42.7592470687291,57.24076782467877
Musanze,6098.077,50.91807325129394,29.6465251,58.22397276049054,28.521259999999998,28.24624,27.04241,4.517945,1.1500409999999999,0.4285348,0.2502493,0.0,22176.21,11056.22,13180.61,18112.67,6147.861,62.13881918442951,37.86116665439365
Burera,9963.927,58.419612178442385,37.45766650000001,64.11830736839843,36.885,35.73307,34.6216,4.545943,1.724597,0.4304195,0.0,0.0,31331.61,15268.66,17019.52,28770.93,10180.69,47.27799766434846,52.722010731235805
Gicumbi,6056.17709,82.46595814401857,48.166153800000004,58.4073172543301,45.813379999999995,41.90476,39.29775,13.08986,5.806486,0.3975765,0.4549013,0.0,43924.61,19338.12,13310.54,34998.44,6071.643,39.63800293809104,60.36200660736394
Rwamagana,10683.2151,65.1446796352051,44.581199,68.43413652449324,40.36472,39.584830000000004,36.50869,17.247139999999998,3.301145,0.6260182,1.6952170000000002,625.0598,31988.44,25757.98,17618.1,29408.61,10677.77,21.24252649310354,78.75749119043836
Nyagatare,32299.936999999998,191.47989576711424,145.142335,75.8002997748276,81.60248,81.08700999999999,76.2467,79.53195,5.183975,0.17180879999999998,58.87135,2840.536,43123.1,71790.02,43596.7,37223.35,32303.27,31.96307275357669,68.03692724642332
Gatsibo,22182.574,153.27420175759278,76.896974,50.16954785490556,63.09364,66.85971,61.3429,34.47093,1.516484,0.2998448,8.54518,2539.483,59585.29,40562.48,32476.7,46171.13,22178.57,30.740860228080557,69.25913977191944
Kayonza,17429.4823,179.99424071804202,93.62893600000001,52.01773991572773,64.45671,60.56476,58.08085,43.88436,5.808676,0.5696712,27.25598,2561.636,43977.84,27274.57,25704.63,32890.82,17431.54,26.971740662391795,73.02826098873338
Kirehe,25096.135499999997,114.15096917944335,74.5698,65.32559516229561,66.38462,69.52144,63.09058,28.18277,3.226896,0.0671419,1.821462,2528.772,46877.77,42477.62,35691.05,45009.55,25064.17,31.48853073238989,68.51146926761011
Ngoma,15963.470099999999,80.26310612858886,56.227514,70.05399705054819,49.38095,51.08974,47.359370000000006,26.75797,1.821521,0.2047577,3.316255,976.0257,38015.3,31049.44,19466.07,33132.15,15963.42,24.27491312345688,75.72508452773494
Bugesera,9660.7498,120.19015386010744,75.18929299999999,62.55861281907904,67.06088000000001,63.33632,58.4635,19.62555,7.664104999999999,0.9430574,4.188861,1652.433,31599.83,40723.84,17392.47,26781.52,9660.576,31.581405424249464,68.41860089124219
